S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
YWHAH|YWHA1 CDC25B|CDC25HU2
YWHAH|YWHA1 CDC25B|CDC25HU2
CDKN2A CDK4
ERBB4|HER4 DLG4|PSD95
ERBB4|HER4 DLG2
ERBB4|HER4 DLG3|KIAA1232
ERBB4|HER4 SNTB2|SNT2B2
FALZ|FAC1 MAZ
FALZ|FAC1 MAZ
FALZ|FAC1 MAZ
MAZ FALZ|FAC1
FALZ|FAC1 MAZ
ALAS2|ALASE|ASB SUCLA2
ALAS2|ALASE|ASB SUCLA2
SUCLA2 ALAS2|ALASE|ASB
ALAS2|ALASE|ASB SUCLA2
SUCLA2 ALAS2|ALASE|ASB
ALAS2|ALASE|ASB SUCLA2
ALAS2|ALASE|ASB SUCLA2
ALOX12|LOG12 KRT5
ALOX12|LOG12 KRT5
KRT5 ALOX12|LOG12
ALOX12|LOG12 KRT5
HDAC4|KIAA0288 MEF2A|MEF2
HDAC4|KIAA0288 MEF2A|MEF2
HDAC4|KIAA0288 MEF2A|MEF2
HDAC9|HDAC7B|HDAC7|KIAA0744|MITR MEF2A|MEF2
PSEN1|PSNL1|AD3|PS1 BACE1
